,Tanggal,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Tahun,Bulan
2,2020-01-02,11800,10750,10350,11850,11700,13100,12600,2020,1
3,2020-01-03,11850,10900,10400,11900,11750,13150,12650,2020,1
4,2020-01-06,11800,10800,10400,11850,11700,13100,12600,2020,1
5,2020-01-07,11800,10800,10400,11850,11700,13100,12600,2020,1
6,2020-01-08,11800,10800,10400,11850,11700,13100,12600,2020,1
7,2020-01-09,11800,10850,10400,11900,11700,13100,12600,2020,1
8,2020-01-10,11850,10900,10450,11900,11750,13200,12700,2020,1
9,2020-01-13,11800,10800,10400,11850,11700,13150,12600,2020,1
10,2020-01-14,11850,10800,10400,11850,11700,13150,12650,2020,1
11,2020-01-15,11850,10800,10450,11850,11700,13150,12650,2020,1
12,2020-01-16,11850,10800,10450,11900,11700,13150,12650,2020,1
13,2020-01-17,11850,10800,10450,11900,11700,13150,12650,2020,1
14,2020-01-20,11850,10800,10450,11850,11700,13150,12650,2020,1
15,2020-01-21,11850,10800,10450,11850,11700,13150,12650,2020,1
16,2020-01-22,11850,10800,10450,11850,11700,13150,12650,2020,1
17,2020-01-23,11850,10800,10450,11850,11700,13150,12650,2020,1
18,2020-01-24,11850,10800,10450,11850,11700,13150,12650,2020,1
19,2020-01-27,11850,10800,10450,11900,11700,13150,12650,2020,1
20,2020-01-28,11850,10800,10450,11850,11700,13150,12650,2020,1
21,2020-01-29,11850,10800,10450,11900,11700,13100,12650,2020,1
22,2020-01-30,11850,10800,10450,11900,11700,13100,12650,2020,1
23,2020-01-31,11850,10800,10450,11900,11700,13150,12650,2020,1
24,2020-02-03,11850,10800,10450,11900,11700,13100,12600,2020,2
25,2020-02-04,11850,10800,10450,11900,11700,13100,12600,2020,2
26,2020-02-05,11850,10800,10450,11900,11700,13100,12600,2020,2
27,2020-02-06,11850,10800,10450,11950,11700,13100,12600,2020,2
28,2020-02-07,11850,10800,10450,11900,11700,13100,12600,2020,2
29,2020-02-10,11850,10800,10450,11900,11700,13100,12600,2020,2
30,2020-02-11,11850,10800,10450,11900,11700,13100,12650,2020,2
31,2020-02-12,11850,10800,10450,11900,11700,13100,12650,2020,2
32,2020-02-13,11850,10800,10450,11900,11700,13100,12650,2020,2
33,2020-02-14,11900,10900,10500,11950,11750,13150,12700,2020,2
34,2020-02-17,11900,10900,10500,11950,11800,13150,12700,2020,2
35,2020-02-18,11850,10800,10450,11900,11700,13100,12650,2020,2
