,Luas Panen (ha),Luas Panen (ha),Luas Panen (ha),Luas Panen (ha),Luas Panen (ha),Produksi (ton),Produksi (ton),Produksi (ton),Produksi (ton),Produksi (ton),Produktivitas (ku/ha),Produktivitas (ku/ha),Produktivitas (ku/ha),Produktivitas (ku/ha),Produktivitas (ku/ha),Provinsi
,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,
0,329515.78,310012.46,317869.41,297058.38,271750.2,1861567.1,1714437.6,1757313.07,1634639.6,1509456.0,56.49,55.3,55.28,55.03,55.55,ACEH
1,408176.45,413141.24,388591.22,385405.0,411462.1,2108284.72,2078901.59,2040500.19,2004142.51,2088584.0,51.65,50.32,52.51,52.0,50.76,SUMATERA UTARA
2,313050.82,311671.23,295664.47,272391.95,271883.1,1483076.48,1482996.01,1387269.29,1317209.38,1373532.0,47.37,47.58,46.92,48.36,50.52,SUMATERA BARAT
3,71448.08,63142.04,64733.13,53062.35,51054.04,266375.53,230873.97,243685.04,217458.87,213557.2,37.28,36.56,37.64,40.98,41.83,RIAU
4,86202.68,69536.06,84772.93,64412.26,60539.59,383045.74,309932.68,386413.49,298149.25,277743.8,44.44,44.57,45.58,46.29,45.88,JAMBI
5,581574.61,539316.52,551320.76,496241.65,513378.2,2994191.84,2603396.24,2743059.68,2552443.19,2775069.0,51.48,48.27,49.75,51.44,54.06,SUMATERA SELATAN
6,65891.16,64406.86,64137.28,55704.69,57151.84,288810.52,296472.07,292834.04,271117.19,281610.1,43.83,46.03,45.66,48.67,49.27,BENGKULU
7,511940.93,464103.42,545149.05,489573.23,518256.1,2488641.91,2164089.33,2650289.64,2485452.78,2688160.0,48.61,46.63,48.62,50.77,51.87,LAMPUNG
8,17233.59,17087.81,17840.55,18278.27,15107.8,45724.69,48805.68,57324.32,70496.25,61425.07,26.53,28.56,32.13,38.57,40.66,KEP. BANGKA BELITUNG
9,375.87,356.27,298.52,270.16,179.48,1097.0,1150.8,852.54,855.01,506.91,29.19,32.3,28.56,31.65,28.24,KEP. RIAU
10,673.37,622.59,914.51,559.97,477.25,4899.14,3359.31,4543.93,3249.47,2337.77,72.76,53.96,49.69,58.03,48.98,DKI JAKARTA
11,1707253.81,1578835.7,1586888.63,1604109.31,1662404.0,9647358.75,9084957.22,9016772.58,9113573.08,9433723.0,56.51,57.54,56.82,56.81,56.75,JAWA BARAT
